instId,tradeId,Date,Time,Millisec,side,px,sz,lDate,lTime,lMillisec
ETH-USDT,205613577,20220530,153653,713,buy,1902.85,8e-06,20220530,153653,717
ETH-USDT,205613578,20220530,153653,713,buy,1902.99,0.1,20220530,153653,717
ETH-USDT,205613579,20220530,153653,713,buy,1903,0.083814,20220530,153653,718
ETH-USDT,205613580,20220530,153700,85,buy,1903,0.067801,20220530,153700,89
ETH-USDT,205613581,20220530,153701,132,buy,1903,0.003,20220530,153701,136
ETH-USDT,205613582,20220530,153704,634,buy,1903,0.002,20220530,153704,638
ETH-USDT,205613583,20220530,153704,947,buy,1903,0.185821,20220530,153704,951
ETH-USDT,205613584,20220530,153707,221,buy,1903,0.001518,20220530,153707,224
ETH-USDT,205613585,20220530,153708,162,buy,1903,0.001,20220530,153708,166
ETH-USDT,205613586,20220530,153708,301,sell,1902.99,0.494459,20220530,153708,312
ETH-USDT,205613587,20220530,153710,5,sell,1902.99,0.448465,20220530,153710,9
ETH-USDT,205613588,20220530,153713,3,sell,1902.99,1.68585,20220530,153713,9
ETH-USDT,205613589,20220530,153713,3,sell,1902.99,0.001197,20220530,153713,9
ETH-USDT,205613590,20220530,153713,95,sell,1902.99,9e-06,20220530,153713,102
ETH-USDT,205613591,20220530,153719,405,sell,1902.8,0.04,20220530,153719,410
ETH-USDT,205613592,20220530,153719,405,sell,1902.8,0.221803,20220530,153719,410
ETH-USDT,205613593,20220530,153728,273,sell,1902.8,0.015436,20220530,153728,278
ETH-USDT,205613594,20220530,153731,339,buy,1902.81,0.001098,20220530,153731,343
ETH-USDT,205613595,20220530,153731,339,buy,1903,0.067302,20220530,153731,343
ETH-USDT,205613596,20220530,153734,392,buy,1902.81,0.07,20220530,153734,397
ETH-USDT,205613597,20220530,153734,392,buy,1902.81,0.402078,20220530,153734,397
ETH-USDT,205613598,20220530,153734,395,buy,1902.89,0.001097,20220530,153734,401
ETH-USDT,205613599,20220530,153734,395,buy,1902.98,0.235032,20220530,153734,401
ETH-USDT,205613600,20220530,153734,395,buy,1902.99,0.199993,20220530,153734,401
ETH-USDT,205613601,20220530,153734,395,buy,1903,0.012802,20220530,153734,401
ETH-USDT,205613602,20220530,153734,395,buy,1903,0.015053,20220530,153734,401
ETH-USDT,205613603,20220530,153734,395,buy,1903,0.874769,20220530,153734,401
ETH-USDT,205613604,20220530,153734,395,buy,1903,3.55852,20220530,153734,401
ETH-USDT,205613605,20220530,153734,395,buy,1903,1.92888,20220530,153734,402
ETH-USDT,205613606,20220530,153734,395,buy,1903.03,0.210277,20220530,153734,402
ETH-USDT,205613607,20220530,153734,395,buy,1903.04,0.041,20220530,153734,402
ETH-USDT,205613608,20220530,153734,395,buy,1903.04,0.149046,20220530,153734,402
ETH-USDT,205613609,20220530,153734,395,buy,1903.04,0.552245,20220530,153734,402
ETH-USDT,205613610,20220530,153734,406,buy,1903.12,0.657,20220530,153734,412
ETH-USDT,205613611,20220530,153734,408,buy,1903.17,0.082014,20220530,153734,414
ETH-USDT,205613612,20220530,153734,408,buy,1903.17,0.099996,20220530,153734,414
ETH-USDT,205613613,20220530,153734,408,buy,1903.17,4e-06,20220530,153734,414
ETH-USDT,205613614,20220530,153734,408,buy,1903.18,11.6276,20220530,153734,414
ETH-USDT,205613615,20220530,153734,420,buy,1903.18,1e-05,20220530,153734,425
ETH-USDT,205613616,20220530,153734,420,buy,1903.23,0.041,20220530,153734,425
ETH-USDT,205613617,20220530,153734,434,buy,1903.21,0.064,20220530,153734,439
ETH-USDT,205613618,20220530,153734,435,buy,1903.21,0.21035,20220530,153734,440
ETH-USDT,205613619,20220530,153734,446,buy,1903.21,0.3,20220530,153734,452
ETH-USDT,205613620,20220530,153734,446,buy,1903.21,0.08265,20220530,153734,452
ETH-USDT,205613621,20220530,153743,834,buy,1903.24,0.004798,20220530,153743,837
ETH-USDT,205613622,20220530,153743,834,buy,1903.24,0.201039,20220530,153743,838
ETH-USDT,205613623,20220530,153743,835,buy,1903.42,0.041,20220530,153743,839
ETH-USDT,205613624,20220530,153743,861,sell,1903.54,0.05217,20220530,153743,865
ETH-USDT,205613625,20220530,153743,861,sell,1903.53,0.34783,20220530,153743,865
ETH-USDT,205613626,20220530,153743,882,buy,1903.54,0.064,20220530,153743,886
ETH-USDT,205613627,20220530,153743,887,buy,1903.6,0.005784,20220530,153743,892
ETH-USDT,205613628,20220530,153743,887,buy,1903.61,0.041,20220530,153743,892
ETH-USDT,205613629,20220530,153743,887,buy,1903.61,0.779082,20220530,153743,892
ETH-USDT,205613630,20220530,153743,899,buy,1903.77,0.05,20220530,153743,911
ETH-USDT,205613631,20220530,153743,906,buy,1903.79,0.122082,20220530,153743,912
ETH-USDT,205613632,20220530,153743,906,buy,1903.8,0.041,20220530,153743,912
ETH-USDT,205613633,20220530,153743,906,buy,1903.81,4.35486,20220530,153743,913
ETH-USDT,205613634,20220530,153743,923,buy,1903.8,0.1,20220530,153743,928
ETH-USDT,205613635,20220530,153743,944,buy,1903.82,0.1,20220530,153743,949
ETH-USDT,205613636,20220530,153744,986,sell,1903.98,0.1,20220530,153744,989
ETH-USDT,205613637,20220530,153751,2,buy,1903.99,0.041,20220530,153751,6
ETH-USDT,205613638,20220530,153751,2,buy,1903.99,0.01027,20220530,153751,6
ETH-USDT,205613639,20220530,153751,15,buy,1903.99,8e-06,20220530,153751,20
ETH-USDT,205613640,20220530,153751,15,buy,1904,2.52154,20220530,153751,20
ETH-USDT,205613641,20220530,153752,704,buy,1904.18,0.041,20220530,153752,708
ETH-USDT,205613642,20220530,153752,704,buy,1904.18,0.0026,20220530,153752,709
ETH-USDT,205613643,20220530,153752,705,buy,1904.18,3e-06,20220530,153752,709
ETH-USDT,205613644,20220530,153752,709,buy,1904.37,0.041,20220530,153752,715
ETH-USDT,205613645,20220530,153752,709,buy,1904.4,1.259,20220530,153752,715
ETH-USDT,205613646,20220530,153752,756,buy,1904.4,0.741,20220530,153752,761
ETH-USDT,205613647,20220530,153752,757,buy,1904.4,0.003014,20220530,153752,761
ETH-USDT,205613648,20220530,153752,774,buy,1904.56,0.041,20220530,153752,778
ETH-USDT,205613649,20220530,153752,798,buy,1904.56,0.00219,20220530,153752,802
ETH-USDT,205613650,20220530,153753,874,buy,1904.56,1e-06,20220530,153753,878
ETH-USDT,205613651,20220530,153753,874,buy,1904.56,1.45365,20220530,153753,878
ETH-USDT,205613652,20220530,153758,303,sell,1904.74,0.3,20220530,153758,307
ETH-USDT,205613653,20220530,153758,303,sell,1904.74,0.29,20220530,153758,307
ETH-USDT,205613654,20220530,153758,303,sell,1904.74,0.3,20220530,153758,307
ETH-USDT,205613655,20220530,153759,990,buy,1904.64,0.001096,20220530,153759,994
ETH-USDT,205613656,20220530,153759,990,buy,1904.73,0.004154,20220530,153759,994
ETH-USDT,205613657,20220530,153810,42,buy,1904.72,0.001095,20220530,153810,47
ETH-USDT,205613658,20220530,153810,42,buy,1904.72,0.077325,20220530,153810,47
ETH-USDT,205613659,20220530,153811,814,sell,1904.71,0.001728,20220530,153811,820
ETH-USDT,205613660,20220530,153811,814,sell,1904.71,0.000931,20220530,153811,820
ETH-USDT,205613661,20220530,153811,878,sell,1904.71,0.015163,20220530,153811,883
ETH-USDT,205613662,20220530,153813,172,buy,1904.72,2e-06,20220530,153813,178
ETH-USDT,205613663,20220530,153813,172,buy,1904.75,0.040998,20220530,153813,178
ETH-USDT,205613664,20220530,153813,187,buy,1904.75,2e-06,20220530,153813,193
ETH-USDT,205613665,20220530,153813,187,buy,1904.8,2,20220530,153813,193
ETH-USDT,205613666,20220530,153813,231,buy,1904.8,2e-06,20220530,153813,236
ETH-USDT,205613667,20220530,153813,231,buy,1904.8,0.001088,20220530,153813,236
ETH-USDT,205613668,20220530,153815,376,buy,1904.8,8e-06,20220530,153815,381
ETH-USDT,205613669,20220530,153815,376,buy,1904.95,0.01059,20220530,153815,381
